plot_id,xcoord,ycoord,heathy_200,heathy_400,heathy_600,heathy_800,heathy_1000,heathy_1200,heathy_1400,heathy_1600,heathy_1800,heathy_2000,cleared_200,cleared_400,cleared_600,cleared_800,cleared_1000,cleared_1200,cleared_1400,cleared_1600,cleared_1800,cleared_2000,edgelength_200,edgelength_400,edgelength_600,edgelength_800,edgelength_1000,edgelength_1200,edgelength_1400,edgelength_1600,edgelength_1800,edgelength_2000,firediversity_200,firediversity_400,firediversity_600,firediversity_800,firediversity_1000,firediversity_1200,firediversity_1400,firediversity_1600,firediversity_1800,firediversity_2000,midSucc_200,midSucc_400,midSucc_600,midSucc_800,midSucc_1000,midSucc_1200,midSucc_1400,midSucc_1600,midSucc_1800,midSucc_2000,growthstage,TSF
176,297135,6126523,11.79,35.82,69.84,111.24,148.59,179.19,217.35,249.93,280.89,306.63,0.18,11.97,39.06,73.89,140.13,236.43,349.83,492.57,660.78,853.92,270,1170,3480,7050,12300,17730,26430,33390,39930,44370,0.429006511,0.379122212,0.227378609,0.278036227,0.269876733,0.225696395,0.185082399,0.167896957,0.173446723,0.189981524,0,0,0,0,0,0,0,0,0,0,1,3
178,292676,6118380,9.63,18.36,22.5,36.45,74.97,129.87,184.77,238.23,305.19,392.76,2.97,29.61,76.95,136.35,196.38,261.45,349.56,454.41,564.75,679.14,660,2820,4620,8400,11910,17190,25290,33480,41460,51810,0,0,0.103513857,0.105569109,0.197385481,0.274955937,0.259232178,0.265511006,0.26692593,0.25989877,0,0,0,0,0,0,0,0,0,0,4,39
182,294783,6122174,6.57,9.45,17.46,26.46,50.13,75.6,114.66,172.08,218.97,267.21,4.86,18.72,43.2,85.41,123.84,164.61,218.25,274.5,333.63,412.65,1230,2550,4710,7650,14010,21180,29640,39330,50310,61920,0,0,0,0,0,0,0.004296436,0.072376887,0.067484963,0.055600145,0,0,0,0,0,0,0,0,0,0,4,80
183,294406,6119881,5.22,8.37,18.09,40.05,69.84,106.83,125.91,154.71,174.06,220.77,5.76,33.3,75.24,131.4,207.36,282.78,389.34,509.04,670.59,831.33,810,1800,4230,9930,16500,26370,34320,41610,48420,61950,0,0,0,0,0,0,0,0.013502752,0.023495373,0.069994344,0,0,0,0,0,0,0,0,0,0,4,36
184,295008,6124949,10.62,32.76,58.77,87.03,119.07,157.5,181.08,191.16,202.95,239.76,0,8.19,30.69,62.73,114.39,183.06,263.34,358.38,460.8,552.96,300,3390,6690,11970,18870,26700,33510,36870,41070,48630,0,0.107648092,0.170712338,0.243870983,0.211432293,0.202532665,0.175866296,0.165776424,0.154686457,0.148490919,0,0,0,0,0,0,0,0,0,0,4,85
186,286500,6115253,9.9,18.09,38.52,72.99,127.53,185.49,225.54,256.68,280.98,318.24,2.7,26.37,64.08,113.58,166.86,237.51,329.67,459,596.61,746.37,690,2280,3330,5640,7710,10770,15480,19800,23850,29130,0.212669095,0.151344457,0.11669698,0.192319563,0.263239691,0.299498431,0.357544394,0.426053404,0.515935862,0.543704563,0,0,0,0,0,1.26,8.37,21.69,47.34,72.63,4,74
187,298427,6130284,11.61,39.24,77.67,122.94,170.91,234,305.91,363.6,425.88,480.15,0.81,9.9,33.21,72.99,132.21,197.46,274.05,378,498.87,653.04,270,1830,4980,8880,13380,20730,28590,39270,50520,60210,0.498614958,0.338668371,0.247458566,0.174612622,0.182693465,0.159036381,0.190364806,0.219870914,0.269409364,0.315896776,0,0,0,0,0,0.9,2.16,2.16,2.16,2.16,1,3
188,290170,6121709,12.33,41.49,77.13,115.74,162.72,226.08,299.7,362.52,407.97,443.79,0,8.37,35.1,82.35,131.04,164.07,217.35,296.73,386.37,490.23,0,1650,5250,8430,12060,16830,23640,35280,44910,55110,0.15775581,0.399713952,0.534089088,0.585943737,0.661086493,0.681714358,0.685146055,0.666039922,0.637763084,0.608470717,0,0,6.75,13.41,39.42,79.65,109.62,126.99,140.22,145.98,4,77
189,287806,6123533,12.42,46.08,89.91,131.4,176.67,230.85,301.68,369.18,447.66,530.82,0,0,3.87,13.68,42.84,86.4,135.72,191.88,252,327.24,0,0,1320,3870,9300,14040,18150,23700,32880,41610,0.489498005,0.490663159,0.478168203,0.407848591,0.366833823,0.338217195,0.320186207,0.314920384,0.323957188,0.313819351,0,0,0,0,0,0,0,0,0,0,4,64
190,291852,6135514,12.51,50.13,110.7,172.62,231.39,301.68,357.21,398.61,438.57,490.95,0,0,0,2.25,10.53,25.65,61.65,120.51,186.21,270.72,0,0,0,510,2250,4770,12150,19530,27240,36210,0.284081633,0.428109229,0.520043039,0.539478723,0.536475779,0.538903338,0.518925461,0.535392862,0.5489028,0.564580842,0,0,0,0,0.09,0.18,7.02,26.55,57.33,106.38,4,47
